name_muni,producao_t,latitude,longitude,temperatura,precipitacao,umidade,vento
Abaetetuba,112000.0,-1.7000000000000013,-48.89999999999986,30.622048,2.82307044125,63.86206675,2.4227695750000002
Abel Figueiredo,184.0,-4.999999999999999,-48.39999999999986,31.24736975,1.9639996235,54.856772,2.354818975
Acará,120000.0,-2.0000000000000013,-48.39999999999986,31.286186999999998,2.27256269325,60.20168325,1.8429789250000002
Água Azul do Norte,350.0,-6.799999999999993,-50.399999999999885,30.418203249999998,2.1534123130000005,56.90582225,2.2484237
Alenquer,5164.0,-0.6000000000000006,-54.99999999999995,29.12325675,2.1086773987500003,59.7674195,2.296978
Almeirim,1040.0,0.2999999999999994,-53.899999999999935,29.214508,2.105811585,61.32153875,1.99881755
Altamira,352.0,-6.499999999999994,-53.899999999999935,30.77728975,2.4577481727499997,58.0021765,1.55894745
Anajás,122000.0,-0.8000000000000006,-49.99999999999988,30.62052375,2.79150632575,65.6311325,2.076290975
Ananindeua,113.0,-1.300000000000001,-48.39999999999986,30.55632675,3.067541081,64.82683125,2.348050775
Anapu,1850.0,-4.000000000000003,-51.2999999999999,30.62838725,2.9593868125,61.65298975,1.97373405
Augusto Corrêa,1611.0,-1.1000000000000008,-46.49999999999983,29.34019725,4.11793915,70.7914265,3.804441425
Aurora do Pará,7350.0,-2.200000000000001,-47.69999999999985,31.35807275,2.249313525,59.14931,2.03996305
Aveiro,330.0,-3.700000000000003,-55.999999999999964,30.54763275,3.0088013125,64.2661935,1.883744175
Bagre,96800.0,-2.4000000000000017,-50.19999999999988,31.12893325,2.94052118,62.45429875,1.633079925
Baião,9775.0,-3.1000000000000023,-49.69999999999988,31.01368175,2.6435563650000002,62.74325875,1.85127525
Barcarena,70000.0,-1.500000000000001,-48.59999999999986,30.18179475,2.99615529325,66.5155655,2.702898725
Belém,680.0,-1.2000000000000008,-48.49999999999986,,,,
Belterra,168.0,-3.2000000000000024,-54.99999999999995,30.0499735,2.691624445,63.85579,2.13949665
Benevides,1953.0,-1.300000000000001,-48.299999999999855,30.795341,2.8682763950000005,63.737821999999994,2.2478657
Bom Jesus do Tocantins,90.0,-5.099999999999999,-48.79999999999986,30.95661325,2.28980206775,58.917712,2.012417975
Bonito,1755.0,-1.400000000000001,-47.29999999999984,30.8493735,2.2111168924999998,61.9783075,2.5895306
